,t,ticks,I
776,50482190,22801,51
777,50484981,22821,47
778,50487771,22840,47
779,50490562,22859,48
780,50493353,22878,51
781,50496143,22897,51
782,50498934,22916,50
783,50501733,22935,48
784,50504524,22954,48
785,50507315,22972,48
786,50510105,22991,48
787,50512896,23010,49
788,50515687,23028,49
789,50518477,23046,49
790,50521268,23064,48
791,50524059,23082,48
792,50526858,23099,48
793,50529657,23117,49
794,50532448,23135,49
795,50535239,23152,49
796,50538030,23170,50
797,50540820,23187,50
798,50543611,23204,48
799,50546401,23221,48
800,50549192,23238,47
801,50551983,23255,48
802,50554774,23272,48
803,50557564,23288,49
804,50560355,23305,49
805,50563154,23322,48
806,50565945,23338,46
807,50568736,23354,46
808,50571526,23370,47
809,50574317,23387,47
810,50577107,23403,48
811,50579898,23419,47
812,50582697,23435,47
813,50585488,23450,46
814,50588296,23466,45
815,50591087,23482,45
816,50593877,23497,46
817,50596668,23513,46
818,50599460,23528,46
819,50602258,23544,46
820,50605049,23559,46
821,50607840,23574,46
822,50610630,23589,46
823,50613421,23604,46
824,50616211,23619,46
825,50619003,23634,46
826,50621802,23649,47
827,50624592,23664,46
828,50627383,23679,46
829,50630174,23694,47
830,50632964,23709,47
831,50635755,23723,45
832,50638546,23738,43
833,50641336,23753,43
834,50644127,23767,45
835,50646918,23782,45
836,50649708,23796,45
837,50652499,23810,45
838,50655290,23825,45
839,50658089,23839,45
840,50660880,23853,45
841,50663670,23867,44
842,50666461,23881,44
843,50669251,23896,44
844,50672042,23910,47
845,50674833,23924,46
846,50677624,23938,46
847,50680414,23952,44
848,50683205,23966,44
849,50685995,23980,43
850,50688795,23994,43
851,50691586,24008,43
852,50694376,24022,46
853,50697167,24036,46
854,50699957,24050,46
855,50702748,24064,44
856,50705539,24078,44
857,50708330,24092,45
858,50711120,24105,45
859,50713920,24119,46
860,50716710,24133,46
861,50719501,24147,46
862,50722291,24161,45
863,50725082,24175,46
864,50727873,24188,46
865,50730664,24202,46
866,50733454,24216,46
867,50736245,24230,45
868,50739035,24244,46
869,50741826,24258,46
870,50744617,24272,44
871,50747408,24286,44
872,50750198,24300,46
873,50752989,24314,48
874,50755779,24328,48
875,50758570,24342,45
876,50761361,24356,45
877,50764152,24370,47
878,50766942,24384,48
879,50769733,24398,48
880,50772523,24412,47
881,50775314,24426,48
882,50778105,24441,48
883,50780895,24455,48
884,50783686,24469,48
885,50786477,24484,48
886,50789276,24498,48
887,50792067,24512,48
888,50794857,24527,48
889,50797648,24542,48
890,50800439,24556,48
891,50803229,24571,50
892,50806038,24586,50
893,50808828,24601,50
894,50811619,24615,51
895,50814409,24630,51
896,50817200,24645,51
897,50819991,24660,51
898,50822781,24675,51
899,50825572,24690,50
900,50828363,24705,50
901,50831153,24721,52
902,50833944,24736,52
903,50836735,24751,51
904,50839525,24767,51
905,50842316,24782,51
906,50845107,24798,52
907,50847898,24814,52
908,50850688,24829,53
909,50853479,24845,54
910,50856278,24861,54
911,50859069,24877,53
912,50861860,24893,54
913,50864650,24909,54
914,50867442,24926,54
915,50870240,24942,54
916,50873031,24958,56
917,50875822,24975,55
918,50878612,24992,55
919,50881403,25008,53
920,50884193,25025,53
921,50886993,25042,55
922,50889794,25059,58
923,50892592,25076,58
924,50895391,25093,57
925,50898190,25111,57
926,50900981,25128,56
927,50903772,25145,57
928,50906562,25163,57
929,50909353,25181,59
930,50912144,25199,58
931,50914934,25216,58
932,50917725,25235,59
933,50920515,25253,59
934,50923306,25271,58
935,50926097,25289,60
936,50928888,25308,60
937,50931678,25326,59
938,50934469,25345,59
939,50937259,25364,60
940,50940050,25383,58
941,50942841,25402,58
942,50945632,25421,60
943,50948422,25441,62
944,50951213,25460,62
945,50954004,25479,62
946,50956794,25499,62
947,50959585,25519,61
948,50962375,25539,59
949,50965166,25559,59
950,50967957,25579,61
951,50970747,25600,61
952,50973538,25620,64
953,50976329,25641,62
954,50979128,25662,62
955,50981919,25683,63
956,50984710,25704,63
957,50987500,25725,62
958,50990291,25746,63
959,50993082,25768,63
960,50995872,25789,63
961,50998663,25811,63
962,51001454,25833,63
963,51004244,25855,62
964,51007035,25877,62
965,51009826,25899,64
966,51012616,25921,64
967,51015407,25944,64
968,51018197,25967,64
969,51020988,25989,64
970,51023779,26013,64
971,51026569,26035,62
972,51029360,26059,62
973,51032151,26082,65
974,51034942,26106,65
975,51037732,26130,66
976,51040524,26154,63
977,51043322,26178,63
978,51046122,26202,63
979,51048912,26226,65
980,51051703,26251,65
981,51054494,26276,67
982,51057284,26300,67
983,51060075,26326,63
984,51062865,26351,63
985,51065656,26376,63
986,51068447,26402,61
987,51071238,26427,61
988,51074028,26453,59
989,51076827,26479,65
990,51079619,26505,65
991,51082409,26531,65
992,51085200,26557,65
993,51087990,26584,62
994,51090790,26611,61
995,51093580,26637,61
996,51096371,26665,62
997,51099161,26691,62
998,51101952,26719,62
999,51104743,26746,64
1000,51107534,26774,64
1001,51110324,26802,62
1002,51113115,26830,59
1003,51115905,26858,59
1004,51118696,26886,63
1005,51121487,26915,63
1006,51124278,26943,58
1007,51127069,26972,57
1008,51129859,27001,57
1009,51132649,27030,64
1010,51135440,27059,59
1011,51138239,27089,59
1012,51141030,27118,57
1013,51143821,27148,57
1014,51146611,27178,60
1015,51149411,27208,58
1016,51152201,27238,58
1017,51154992,27268,58
1018,51157783,27299,58
1019,51160574,27329,54
1020,51163373,27360,57
1021,51166164,27391,57
1022,51168954,27422,59
1023,51171745,27453,59
1024,51174535,27485,51
1025,51177326,27516,55
1026,51180117,27548,55
1027,51182907,27580,58
1028,51185707,27612,54
1029,51188498,27644,54
1030,51191288,27677,54
1031,51194080,27709,54
1032,51196870,27742,50
1033,51199660,27774,52
1034,51202451,27808,52
1035,51205241,27841,48
1036,51208032,27874,48
1037,51210823,27907,49
1038,51213622,27941,54
1039,51216413,27975,54
1040,51219212,28009,47
1041,51222003,28043,47
1042,51224794,28077,49
1043,51227584,28111,46
1044,51230384,28146,46
1045,51233174,28181,52
1046,51235965,28215,43
1047,51238756,28250,43
1048,51241555,28285,44
1049,51244354,28321,44
1050,51247145,28356,48
1051,51249935,28391,44
1052,51252726,28427,44
1053,51255517,28463,43
1054,51258308,28499,43
1055,51261098,28535,40
1056,51263891,28571,47
1057,51266688,28607,47
1058,51269479,28644,40
1059,51272270,28680,42
1060,51275060,28717,42
1061,51277851,28754,39
1062,51280642,28791,39
1063,51283432,28828,43
1064,51286223,28865,34
1065,51289014,28902,34
1066,51291813,28940,39
1067,51294612,28977,39
1068,51297411,29015,38
1069,51300202,29053,39
1070,51302993,29091,39
1071,51305784,29129,37
1072,51308574,29168,37
1073,51311373,29206,34
1074,51314164,29244,32
1075,51316955,29283,32
1076,51319745,29322,34
1077,51322536,29360,36
1078,51325327,29399,36
1079,51328126,29438,31
1080,51330918,29478,31
1081,51333717,29517,31
1082,51336507,29556,34
1083,51339306,29596,34
1084,51342097,29635,31
1085,51344896,29675,31
1086,51347687,29714,28
1087,51350477,29754,31
1088,51353277,29794,31
1089,51356068,29834,32
1090,51358858,29874,26
1091,51361657,29915,26
1092,51364466,29955,27
1093,51367256,29996,27
1094,51370049,30036,29
1095,51372846,30077,27
1096,51375654,30118,27
1097,51378454,30159,25
1098,51381262,30199,25
1099,51384061,30241,30
1100,51386852,30281,26
1101,51389651,30322,26
1102,51392441,30364,26
1103,51395241,30405,26
1104,51398032,30446,22
1105,51400831,30488,29
1106,51403622,30529,29
1107,51406412,30570,23
1108,51409212,30612,24
1109,51412003,30653,24
1110,51414801,30695,23
1111,51417593,30737,23
1112,51420383,30779,27
1113,51423174,30821,19
1114,51425973,30863,19
1115,51428763,30904,24
1116,51431554,30946,24
1117,51434345,30988,24
1118,51437136,31030,23
1119,51439926,31073,23
1120,51442717,31115,19
1121,51445508,31157,19
1122,51448298,31199,21
1123,51451089,31241,23
1124,51453888,31283,23
1125,51456679,31326,17
1126,51459471,31368,22
1127,51462269,31410,22
1128,51465061,31453,21
1129,51467850,31495,21
1130,51470641,31538,24
1131,51473440,31581,15
1132,51476231,31623,15
1133,51479030,31666,21
1134,51481830,31709,21
1135,51484621,31751,19
1136,51487411,31794,19
1137,51490201,31836,19
1138,51492992,31879,16
1139,51495783,31921,20
1140,51498573,31964,20
1141,51501364,32006,20
1142,51504156,32049,20
1143,51506946,32092,14
1144,51509738,32134,18
1145,51512535,32177,18
1146,51515326,32220,17
1147,51518117,32262,17
1148,51520916,32305,19
1149,51523707,32348,14
1150,51526497,32390,14
1151,51529288,32433,21
1152,51532079,32475,21
1153,51534870,32518,18
1154,51537660,32560,14
1155,51540451,32603,14
1156,51543241,32645,13
1157,51546032,32688,18
1158,51548823,32730,18
1159,51551613,32772,15
1160,51554404,32815,15
1161,51557195,32857,13
1162,51559994,32900,16
1163,51562794,32942,16
1164,51565584,32984,16
1165,51568375,33026,16
1166,51571165,33069,15
1167,51573956,33111,11
1168,51576755,33153,11
1169,51579546,33195,18
1170,51582337,33237,12
1171,51585127,33279,12
1172,51587918,33321,14
1173,51590709,33363,14
1174,51593501,33405,11
1175,51596309,33447,18
1176,51599107,33489,18
1177,51601897,33530,11
1178,51604689,33572,11
1179,51607479,33613,12
1180,51610278,33655,15
1181,51613069,33696,15
1182,51615861,33737,15
1183,51618659,33779,15
1184,51621458,33820,11
1185,51624249,33861,10
1186,51627057,33902,10
1187,51629848,33944,16
1188,51632647,33984,12
1189,51635446,34025,12
1190,51638237,34066,13
1191,51641027,34106,13
1192,51643818,34147,13
1193,51646618,34188,18
1194,51649408,34228,18
1195,51652199,34269,8
1196,51654903,34307,8
1197,51657607,34346,15
1198,51660398,34386,15
1199,51663188,34426,15
1200,51665979,34466,16
1201,51668770,34505,16
1202,51671560,34545,10
1203,51674352,34585,18
1204,51677150,34624,18
1205,51679941,34664,14
1206,51682740,34703,16
1207,51685531,34742,16
1208,51688321,34781,11
1209,51691112,34819,11
1210,51693903,34858,20
1211,51696693,34897,15
1212,51699484,34935,15
1213,51702276,34974,18
1214,51705065,35012,18
1215,51707865,35050,15
1216,51710655,35088,23
1217,51713446,35126,23
1218,51716237,35164,13
1219,51719028,35202,13
1220,51721818,35239,20
1221,51724610,35277,20
1222,51727408,35314,20
1223,51730199,35351,22
1224,51732990,35388,17
1225,51735780,35425,17
1226,51738571,35462,22
1227,51741361,35498,22
1228,51744152,35535,24
1229,51746943,35571,21
1230,51749733,35607,21
1231,51752524,35643,20
1232,51755315,35679,20
1233,51758105,35715,25
1234,51760896,35751,27
1235,51763687,35786,27
1236,51766478,35821,20
1237,51769268,35857,26
1238,51772059,35892,26
1239,51774849,35927,26
1240,51777640,35961,26
1241,51780431,35996,28
1242,51783221,36030,24
1243,51786012,36065,24
1244,51788812,36099,29
1245,51791611,36133,29
1246,51794402,36167,30
